Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,superlinear,adaptive_forward,0.01,79.63536143302917,213,947.3806209556076,12.888018466283768,nan,False
fixed,superlinear,adaptive_forward,0.0001,79.82140684127808,204,2.0778684531758778,0.8410066684104273,nan,False
fixed,superlinear,adaptive_forward,1e-06,79.68007302284241,187,0.0002254950948214707,6.466527878872994e-05,nan,False
fixed,superlinear,adaptive_forward,1e-08,79.8119580745697,14,6890.672022602319,865.3907886144602,nan,False
fixed,superlinear,adaptive_forward,1e-10,79.79841113090515,65,5.112364301193268,2.116183028882015,nan,False
fixed,superlinear,adaptive_forward,1e-12,1.0579073429107666,3,10271.396089905978,0.0,193.37068654626216,True
fixed,superlinear,adaptive_backward,0.01,79.82164764404297,110,114.70815471151678,91.09407057523347,nan,False
fixed,superlinear,adaptive_backward,0.0001,79.8541750907898,169,0.001112447362509635,0.9490335092253056,nan,False
fixed,superlinear,adaptive_backward,1e-06,79.61622929573059,169,1.594738961103554e-05,0.006982483025970635,nan,False
fixed,superlinear,adaptive_backward,1e-08,79.85522127151489,18,7528.17779855639,470.40022531087396,nan,False
fixed,superlinear,adaptive_backward,1e-10,79.7477400302887,98,16.719257810828427,4.926320303864705,nan,False
fixed,superlinear,adaptive_backward,1e-12,24.648104429244995,45,9733.131655922116,0.0,-2.1484304468447504,True
fixed,superlinear,adaptive_central,0.01,79.7980260848999,114,0.9616108568038069,0.0791700063273707,nan,False
fixed,superlinear,adaptive_central,0.0001,79.69049024581909,137,1.0064013414524072e-08,0.00010470277924717087,nan,False
fixed,superlinear,adaptive_central,1e-06,51.80642104148865,54,3.525106677940849e-11,3.745750106759622e-06,0.3343024668826587,True
fixed,superlinear,adaptive_central,1e-08,79.86754012107849,13,8505.623577604036,174.16629135305726,nan,False
fixed,superlinear,adaptive_central,1e-10,79.853191614151,29,456.76637371784705,39.19364400369944,nan,False
fixed,superlinear,adaptive_central,1e-12,79.87232613563538,119,7467.060467742975,86.80792233637513,nan,False
fixed,superlinear,exact,nan,3.9801371097564697,64,1.0152514119603355e-13,2.0135887422101214e-07,0.5777249589812162,True
fixed,superlinear,forward,0.01,79.81814813613892,186,1010.5975169439888,1.6394815129664402,nan,False
fixed,superlinear,forward,0.0001,79.72541928291321,221,2.0661187782249035,1.0146059786287658,nan,False
fixed,superlinear,forward,1e-06,79.63482999801636,206,0.00022591805626254413,4.976026459201116e-05,nan,False
fixed,superlinear,forward,1e-08,79.80668234825134,13,9241.333896854443,1037.8465338115018,nan,False
fixed,superlinear,forward,1e-10,79.79632306098938,80,2.0580448121819517,1.8709020401301681,nan,False
fixed,superlinear,forward,1e-12,1.5586845874786377,5,10282.405616421267,0.0,-0.02244924652336638,True
fixed,superlinear,backward,0.01,79.6634750366211,111,121.72231319796951,89.08117978118835,nan,False
fixed,superlinear,backward,0.0001,79.79719638824463,209,0.1351979038295691,0.7281607154333958,nan,False
fixed,superlinear,backward,1e-06,79.75410914421082,167,0.00013322009950868203,0.002206400507895549,nan,False
fixed,superlinear,backward,1e-08,79.83690094947815,14,7971.550150437288,530.7201025059667,nan,False
fixed,superlinear,backward,1e-10,79.83821201324463,66,4.033229316374699,1.9224466134899216,nan,False
fixed,superlinear,backward,1e-12,3.3145055770874023,10,10158.18007111182,0.0,-1.9836275318304923,True
fixed,superlinear,central,0.01,79.7859570980072,129,0.9617576719270216,0.09778496572345177,nan,False
fixed,superlinear,central,0.0001,79.81445169448853,154,1.0021779296663454e-08,3.737610913183091e-05,nan,False
fixed,superlinear,central,1e-06,32.65455651283264,49,1.0171979173376021e-13,1.95237839135888e-07,0.6289706869678949,True
fixed,superlinear,central,1e-08,79.6363513469696,6,10292.411116928619,612.5313864373077,nan,False
fixed,superlinear,central,1e-10,79.88158512115479,55,9803.148332371142,149.3752702717116,nan,False
fixed,superlinear,central,1e-12,79.84783244132996,134,8935.815829332445,159.03419257952513,nan,False
fixed,quadratic,adaptive_forward,0.01,79.62196278572083,204,947.3806209556076,12.888018466283768,nan,False
fixed,quadratic,adaptive_forward,0.0001,79.8163833618164,196,2.0778684531758778,0.8410066684104273,nan,False
fixed,quadratic,adaptive_forward,1e-06,79.84295058250427,54,0.00022549630545210396,6.464321296002026e-05,nan,False
